no,a2,a3,a4,a5,a6,a7,v1_1,v1_2,v1_3,v1_4,v1_5,v1_o,v2,v3,v4_1,v4_2,v4_3,v4_o,v5_1,v5_2,v5_3,v5_4,v5_5,v5_6,v5_o,v6_1,v6_2,v6_3,v6_4,v6_o,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_o,v9_1,v9_2,v9_3,v9_o,v10_1,v10_2,v10_3,v10_4,v10_5,v10_o,v11,v12_1,v12_2,v12_3,v12_4,v12_o,v13_1,v13_2,v13_3,v13_4,v13_o,v14_1,v14_2,v14_3,v14_4,v14_5,v14_6,v14_o,v15_1,v15_2,v15_3,v15_4,v15_5,v15_6,v15_o
634,1,3,3,8,3,1,2,3,7, , , ,1,7,1,4,5, ,1,2,6, , , , ,4,5, , , ,3, , , , , , , , , , ,1,3,5, , , ,6,1,2,6, , ,1,3, , , ,1,2,4, , , , ,1,2,3, , , , 
842,1,3,3,5,2,1,1,4,7, , , ,1,7,1,5, , ,3,4, , , , , ,4, , , , ,3, , , , , , , , , , ,1,2,5, , , ,7,9, , , ,以上皆非,1,3,5, , ,1,2,3, , , , ,1,2,4, , , , 
1047,1,3,3,11,3,1,1,2,4, , , ,1,8,7, , ,沒有,1,6, , , , , ,4,5, , , ,3, , , , , , , , , , ,1,3, , , , ,7,9, , , ,沒有,1,2, , , ,3,4,5, , , , ,4, , , , , , 
23,1,2,3,16,1,2,1, , , , , ,2, , , , , ,4,5, , , , , ,4, , , , ,4,1,4, , , , ,4,5, , ,1,5, , , , ,5,1, , , , ,1,2, , , ,1,2,6, , , , ,1,2,5, , , , 
55,1,2,1,8,3,2,10, , , , ,沒特別準備,1,7,4, , , ,2, , , , , , ,4, , , , ,2, , , , , , , , , , ,1, , , , , ,1,2, , , , ,1,2, , , ,1,6, , , , , ,1,3, , , , , 
370,1,2,1,18,1,2,3,7, , , , ,1,8,1, , , ,2,6, , , , , ,4, , , , ,2, , , , , , , , , , ,1, , , , , ,6,6, , , , ,1,2, , , ,1,3, , , , , ,1,2,4, , , , 
605,1,2,1,8,3,3,1,5,6, , , ,1,9,7, , ,沒有,2,4,5, , , , ,4,5, , , ,1, , , , , , , , , , ,1,3,4, , , ,5,1,2, , , ,1,2,4, , ,1,5, , , , , ,2,3,4, , , , 
681,1,2,3,8,2,3,2,3,7, , , ,2, , , , , ,7, , , , , , ,4, , , , ,1, , , , , , , , , , ,1,2,3, , , ,5,9, , , ,沒有,1,2, , , ,1,6, , , , , ,1,3,5, , , , 
735,1,2,3,11,2,3,2,3,4, , , ,1,7,4, , , ,2, , , , , , ,4, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,1,2, , , ,1,2,3, , ,1,5,7, , , , ,2,4,6, , , , 
740,1,1,1,2,1,3,3,5,6, , , ,1,8,1, , , ,6, , , , , , ,4, , , , ,2, , , , , , , , , , ,1,2, , , , ,6,6, , , , ,1, , , , ,3, , , , , , ,2,3, , , , , 
82,1,2,3,11,2,4,1,7, , , , ,2, , , , , ,2,4,6, , , , ,4, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,3,6, , , ,2, , , , ,1,2,5, , , , ,1,2,6, , , , 
143,1,3,3,5,2,4,1,2,3, , , ,1,5,1, , , ,1,2, , , , , ,4, , , , ,3, , , , , , , , , , ,1,2,3, , , ,5,2, , , , ,4, , , , ,1,2,3, , , , ,5,6, , , , , 
257,2,3,3,9,2,1,1,2, , , , ,1,9,1, , , ,1, , , , , , ,4, , , , ,3, , , , , , , , , , ,1,3, , , , ,8,3,6, , , ,1,2, , , ,1,2, , , , , ,1,2,3, , , , 
494,2,2,3,11,2,1,7, , , , , ,1,5,1,3, , ,7, , , , , , ,4, , , , ,4,1,2,5, , , ,1,2,4, ,1,2,3, , , ,5,2, , , , ,1,2, , , ,1,2,6, , , , ,1,5, , , , , 
699,2,3,3,18,3,1,1,2, , , , ,1,7,7, , ,沒意見,2,4,5, , , , ,4, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,1,2,3, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
702,2,3,3,18,3,1,2,3,4, , , ,1,6,12, , ,更改老闆的想法,1, , , , , , ,4, , , , ,3, , , , , , , , , , ,1,5, , , , ,5,3,6, , , ,3, , , , ,1,2,3, , , , ,1,3,6, , , , 
860,2,3,3,8,3,1,2,3,5, , , ,1,7,1, , , ,1,2,4, , , , ,4, , , , ,4,4, , , , , ,5, , , ,1,2,3, , , ,6,4, , , , ,2,4, , , ,1,4,5, , , , ,1, , , , , , 
861,2,3,3,5,3,1,2,4,5, , , ,1,6,3,4,5, ,1,2, , , , , ,4, , , , ,4,5, , , , , ,4,5, , ,1,2,3, , , ,7,3,6, , , ,1,2,3, , ,2,3,4, , , , ,1,4, , , , , 
907,2,3,3,5,2,1,1,2,3, , , ,1,4,5, , ,工作未來性,1,2,4, , , , ,4,5, , , ,4,1,2,7, , , ,5, , , ,1,2,3, , , ,6,1,2,6, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
951,2,1,1,16,2,1,4, , , , , ,1,6,4, , , ,2, , , , , , ,4, , , , ,3, , , , , , , , , , ,1,2,3, , , ,5,9, , , ,以上皆是。,1, , , , ,1,6, , , , , ,8, , , , , ,以上皆是。
969,2,3,3,5,2,1,2,4,7, , , ,2, , , , , ,6, , , , , , ,4, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,1,2, , , ,2, , , , ,2, , , , , , ,1,2,3, , , , 
984,2,3,3,12,3,1,1,3,7, , , ,1,7,1, , , ,1,4,6, , , , ,4,5, , , ,3, , , , , , , , , , ,1,4,5, , , ,7,3,4,6, , ,1,2,5, , ,3,4,5, , , , ,3,4,5, , , , 
1015,2,3,3,18,3,1,2, , , , , ,1,8,7, , ,沒意見,1,2,3, , , , ,4, , , , ,2, , , , , , , , , , ,1,2,3, , , ,7,2, , , , ,3, , , , ,1,3,5, , , , ,1,2, , , , , 
1039,2,2,3,18,2,1,1,5, , , , ,1,7,1, , , ,1,2,4, , , , ,4,5, , , ,3, , , , , , , , , , ,1,2,3, , , ,5,3,6, , , ,1,2,3, , ,1,2,3, , , , ,1,3,4, , , , 
1067,2,3,3,16,2,1,2,7, , , , ,1,7,1, , , ,7, , , , , , ,4, , , , ,4,1, , , , , ,4, , , ,1,5, , , , ,7,2, , , , ,1, , , , ,4,5, , , , , ,2,3,5, , , , 
1103,2,3,4,11,2,1,4,7, , , , ,1,7,1,5, , ,1,4, , , , , ,4, , , , ,3, , , , , , , , , , ,1,2, , , , ,7,3, , , , ,1,2,5, , ,1,2,6, , , , ,1,3,5, , , , 
5,2,3,3,5,3,2,2,6,7, , , ,1,6,5, , , ,6, , , , , , ,4, , , , ,4,1,4,7, , , ,3,4,5, ,1,2,5, , , ,5,2,3,4, , ,2,5, , , ,1,2,4, , , , ,1,2,4, , , , 
132,2,2,3,5,3,2,2,3,7, , , ,1,7,1,3, , ,2,6, , , , , ,4, , , , ,4,9, , , , ,薪資調整,2,5, , ,1,4,5, , , ,6,2,3,5, , ,1,2, , , ,1,3, , , , , ,1,5, , , , , 
189,2,3,3,3,2,2,1,2,3, , , ,1,8,1, , , ,2,4, , , , , ,4, , , , ,4,1,4,5, , , ,1,4,5, ,1,3,5, , , ,6,1,3, , , ,1,2, , , ,1,2,3, , , , ,2,5,6, , , , 
412,2,2,3,3,2,2,1,2,7, , , ,1,3,1,2, , ,1,3,5, , , , ,4, , , , ,4,1, , , , , ,1,2,4, ,1,2,3, , , ,5,1,2, , , ,1, , , , ,1,4,6, , , , ,1,2,6, , , , 
421,2,2,3,14,2,2,1,7, , , , ,1,7,1, , , ,1,2,6, , , , ,4, , , , ,3, , , , , , , , , , ,1,5, , , , ,8,6, , , , ,1,2,3, , ,1,2,4, , , , ,1,2,3, , , , 
526,2,2,3,4,3,2,1,4,7, , , ,1,5,1,3, , ,2,4, , , , , ,4,5, , , ,3, , , , , , , , , , ,1,3, , , , ,7,1,2, , , ,1,3,4, , ,1,2,4, , , , ,2,3, , , , , 
624,2,2,3,8,1,2,1,6,7, , , ,2, , , , , ,1,4,5, , , , ,4, , , , ,3, , , , , , , , , , ,1,4, , , , ,6,1,2, , , ,1,3, , , ,1,2,7, , , , ,1,5,6, , , , 
703,2,2,3,13,2,2,2,3,5, , , ,1,6,1,5, , ,1,4, , , , , ,4, , , , ,4,1,4,5, , , ,2,4,5, ,1,2,3, , , ,7,2,6, , , ,2,5, , , ,3,6, , , , , ,1,2,3, , , , 
766,2,2,4,5,1,2,2,4,7, , , ,2, , , , , ,1,2,4, , , , ,4,5, , , ,3, , , , , , , , , , ,1,2,3, , , ,5,2,3,6, , ,1,2,4, , ,1,2,6, , , , ,1,2,5, , , , 
205,2,3,3,3,3,3,10, , , , ,沒有準備,1,6,7, , ,沒有,2,3,4, , , , ,4,5,6, , ,3, , , , , , , , , , ,1, , , , , ,5,1,2,3, , ,4, , , , ,6, , , , , , ,5,6, , , , , 
209,2,2,3,5,2,3,1,4,7, , , ,1,6,1,5, , ,1,4,6, , , , ,4, , , , ,4,4,7, , , , ,4,5, , ,1,2,5, , , ,3,6, , , , ,1,3,4, , ,1,2,4, , , , ,1,3,5, , , , 
419,2,3,3,2,2,3,2, , , , , ,1,6,1, , , ,4,6, , , , , ,4,5, , , ,3, , , , , , , , , , ,1,4, , , , ,6,2,3, , , ,1,2,5, , ,1,4,6, , , , ,1,4, , , , , 
426,2,3,3,3,3,3,7, , , , , ,1,7,1, , , ,1,2, , , , , ,4, , , , ,4,1, , , , , ,4,5, , ,1,2, , , , ,7,2, , , , ,3,4, , , ,1,2, , , , , ,1,5, , , , , 
788,2,3,3,5,1,3,4,7, , , , ,1,6,1, , , ,2,5, , , , , ,4, , , , ,3, , , , , , , , , , ,1, , , , , ,6,2, , , , ,1,2, , , ,1, , , , , , ,6, , , , , , 
430,1,3,3,14,3,1,1,2, , , , ,1,7,1,4, , ,7, , , , , , ,5, , , , ,3, , , , , , , , , , ,1,3,5, , , ,5,3, , , , ,2, , , , ,1,2,4, , , , ,1,3,5, , , , 
649,1,1,1,18,1,1,1,2,3,4, , ,1,6,1, , , ,1,2,3,4,5, , ,5, , , , ,3, , , , , , , , , , ,1,2,3,4, , ,8,3, , , , ,1,2,3,4, ,1,2,3,4,5,6, ,1,2,3,4, , , 
756,1,3,3,18,2,1,1,2, , , , ,1,8,1, , , ,1,2,3,4,5,6, ,5, , , , ,2, , , , , , , , , , ,1,2,3,4, , ,6,2, , , , ,1,2,3,4, ,1,2,3,4, , , ,1,2,3,4, , , 
868,1,2,3,8,1,1,1,3,7, , , ,1,9,7, , ,無,1,2,4, , , , ,5, , , , ,4,3,4,6, , , ,1,4, , ,1,3,5, , , ,6,4,5,6, , ,1,2,5, , ,1,5,6, , , , ,2,3,4, , , , 
935,1,2,3,11,3,1,3,7, , , , ,1,5,1, , , ,2,6, , , , , ,5, , , , ,4,1, , , , , ,1, , , ,1,2,5, , , ,6,2, , , , ,1,2,4, , ,2,3,7, , , , ,4,5,6, , , , 
1058,1,2,1,10,1,1,9, , , , ,以上皆是,1,8,1,2, , ,1,2,5, , , , ,5, , , , ,2, , , , , , , , , , ,1, , , , , ,7,2, , , , ,3,4, , , ,3,6, , , , , ,3,6, , , , , 
157,1,3,3,11,3,2,2,3,7, , , ,1,7,1,5, , ,1,2,6, , , , ,5, , , , ,4,1,4,5, , , ,2,4, , ,1,3,5, , , ,4,3, , , , ,1,2,5, , ,1,2,4, , , , ,1,3,4, , , , 
655,1,1,1,11,1,3,2,7, , , , ,1,9,1, , , ,1,2,3, , , , ,5, , , , ,4,4,5,7, , , ,1,4, , ,1,2,5, , , ,5,3,4,6, , ,1,2,5, , ,2,5,7, , , , ,1,4,5, , , , 
694,1,2,3,18,3,3,1,3,5, , , ,1,8,1, , , ,1,2,6, , , , ,5, , , , ,5,4,5,6,7, , ,1,2, , ,1,4,5, , , ,6,1,2,5, , ,1,3,5, , ,1,2,5, , , , ,1,2,4, , , , 
326,2,3,3,5,2,1,1,2,3, , , ,1,9,7, , ,無意見,1,2, , , , , ,5, , , , ,3, , , , , , , , , , ,1,5, , , , ,7,1, , , , ,1,2,5, , ,1,2,3, , , , ,1,2,3, , , , 
650,2,3,3,5,2,1,7, , , , , ,2, , , , , ,1,2,5, , , , ,5,6, , , ,4,1,2,4, , , ,1,5, , ,1,2,5, , , ,5,1,2,3, , ,1,4,5, , ,1,2,3, , , , ,1,2,3, , , , 
759,2,3,3,5,2,1,3,7, , , , ,1,8,1,4,5, ,1,2,6, , , , ,5, , , , ,3, , , , , , , , , , ,1,2,4, , , ,8,3,4, , , ,1,2, , , ,1,2,4, , , , ,1,3,4, , , , 
877,2,2,4,8,1,1,1,6, , , , ,1,9,1, , , ,1,2, , , , , ,5,6, , , ,2, , , , , , , , , , ,1,2, , , , ,8,9, , , ,"沒有以上問題,以上皆非。",1,2, , , ,1,2,5, , , , ,1,2,3, , , , 
916,2,2,3,18,2,1,1,2,7, , , ,1,8,7, , ,"沒有以上問題,以上皆非。",1,2,5, , , , ,5, , , , ,2, , , , , , , , , , ,1, , , , , ,8,9, , , ,"沒有以上問題,以上皆非。",4,5, , , ,9, , , , , ,以上皆是。,8, , , , , ,以上皆是。
27,2,2,3,18,2,2,3,7, , , , ,1,7,1, , , ,1,2,3, , , , ,5, , , , ,3, , , , , , , , , , ,1,4, , , , ,6,2,4, , , ,2,3,4, , ,3,4,5, , , , ,2,3,4, , , , 
273,2,1,1,16,1,2,1, , , , , ,1,6,7, , ,以上皆非。,8, , , , , , ,5, , , , ,3, , , , , , , , , , ,1, , , , , ,4,9, , , ,以上皆非。,8, , , ,以上皆非。,3, , , , , , ,7, , , , , ,以上皆非。
501,2,2,3,5,1,2,1,2,7, , , ,2, , , , , ,1,6, , , , , ,5, , , , ,3, , , , , , , , , , ,1,4, , , , ,5,1, , , , ,1,2, , , ,1,2,3, , , , ,1,2,5, , , , 
357,2,2,3,3,2,3,1,3,7, , , ,1,7,1,5, , ,1,2,6, , , , ,5, , , , ,4,3,7, , , , ,1,5, , ,1,3,5, , , ,7,1,3, , , ,1,2,5, , ,2,7, , , , , ,1,2,3, , , , 
1056,1,3,3,4,3,1,1,2,3, , , ,2, , , , , ,2,5,6, , , , ,6, , , , ,1, , , , , , , , , , ,1,5, , , , ,5,5, , , , ,7, , , ,以上皆是,1,2,5, , , , ,5,6, , , , , 
18,1,2,3,11,2,2,2,3,7, , , ,2, , , , , ,2,4,5, , , , ,6, , , , ,3, , , , , , , , , , ,1,4,5, , , ,7,1,2,5, , ,1,2, , , ,1,2,5, , , , ,2,3,4, , , , 
171,1,3,3,12,3,3,2,7, , , , ,1,7,4, , , ,1,2, , , , , ,6, , , , ,4,4, , , , , ,1,4, , ,1,3,5, , , ,5,1, , , , ,2, , , , ,2, , , , , , ,1,5, , , , , 
120,2,2,3,16,3,2,1,2,7, , , ,1,5,1,5, , ,1,2, , , , , ,6, , , , ,4,1,4, , , , ,1,3, , ,1,5, , , , ,6,1,2, , , ,2,5, , , ,1,3,5, , , , ,1,5, , , , , 
480,2,2,3,5,3,2,1,2,7, , , ,2, , , , , ,10, , , , , ,以上皆是。,6, , , , ,4,1,4,5, , , ,1,4,5, ,1,2,5, , , ,6,1, , , , ,1,2, , , ,1,2, , , , , ,8, , , , , ,以上皆是。
574,2,2,3,3,2,2,1,7, , , , ,1,7,1, , , ,4,6, , , , , ,6, , , , ,3, , , , , , , , , , ,1,2,4, , , ,8,9, , , ,以上皆非。,1,2,5, , ,1,2,5, , , , ,1,3,5, , , , 
212,2,3,3,3,3,3,3,6,7, , , ,1,5,1,3, , ,3,6, , , , , ,6, , , , ,4,1, , , , , ,1,5, , ,1,5, , , , ,7,1,2,5, , ,2,5, , , ,1,2,4, , , , ,1,4,5, , , , 
263,2,3,4,3,1,3,1,2,3, , , ,1,6,1, , , ,4,6, , , , , ,6, , , , ,3, , , , , , , , , , ,1,2,4, , , ,8,9, , , ,都沒有,1,2, , , ,1,2,4, , , , ,1,2,4, , , , 
381,2,2,3,18,1,3,2,3, , , , ,1,7,1,4, , ,7, , , , , , ,6, , , , ,2, , , , , , , , , , ,1,2,5, , , ,6,2,3, , , ,2,5, , , ,1,2,4, , , , ,1,5, , , , , 
522,2,2,3,5,3,4,1,3,7, , , ,1,1,1,3,4, ,1,4,6, , , , ,6, , , , ,5,1,4,7, , , ,2,4, , ,1,3,4, , , ,7,3, , , , ,2,5, , , ,1,2,3, , , , ,5, , , , , , 
529,1,3,3,8,3,1,2,3,7, , , ,1,8,7, , ,沒有需要改善,2,4, , , , , ,7, , , , ,3, , , , , , , , , , ,1,3,5, , , ,4,1, , , , ,1,5, , , ,1,4,5, , , , ,1,4,6, , , , 
857,1,2,1,10,2,1,1,3, , , , ,1,8,1, , , ,1,2, , , , , ,7, , , , ,2, , , , , , , , , , ,1,2, , , , ,5,3, , , , ,1,2, , , ,1,2, , , , , ,3,5, , , , , 
865,1,3,3,5,3,1,1,2,3, , , ,2, , , , , ,5,6, , , , , ,7, , , , ,5,10, , , , ,看不到未來,2,4,5, ,1,2,3, , , ,6,2,3, , , ,2,3, , , ,2,3,4, , , , ,2,3,5, , , , 
971,1,2,3,5,2,1,1, , , , , ,1,8,1, , , ,5,6, , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,8,9, , , ,沒有,4, , , , ,1, , , , , , ,1, , , , , , 
1037,1,3,3,11,3,1,2,7, , , , ,1,7,1, , , ,1,5, , , , , ,7, , , , ,3, , , , , , , , , , ,1,2,5, , , ,5,2,3, , , ,1,2, , , ,1,2,3, , , , ,1,2,5, , , , 
1061,1,1,1,5,3,1,1,2,3, , , ,2, , , , , ,1,2,3, , , , ,7, , , , ,1, , , , , , , , , , ,1, , , , , ,6,6, , , , ,1, , , , ,3, , , , , , ,3, , , , , , 
7,1,1,1,8,1,2,3,5,7, , , ,2, , , , , ,2,3,4, , , , ,7, , , , ,4,1,4,8, , ,薪水夠不夠用,1,2,5, ,1,2,5, , , ,6,1,3,6, , ,1,3,5, , ,1,4,5, , , , ,1,2,6, , , , 
26,1,3,3,11,2,2,1,3,6, , , ,1,6,4, , , ,2,4,5, , , , ,7, , , , ,4,4, , , , , ,4, , , ,1,2,3, , , ,5,7, , , ,人家問做事情做一半，比較急，會先去做其他，沒有照順序來，被人批評,1,2,4, , ,1,6, , , , , ,1,3,5, , , , 
40,1,2,1,15,3,2,1,3,7, , , ,1,8,1,3, , ,1,2,5, , , , ,7, , , , ,3, , , , , , , , , , ,1,2,4, , , ,7,9, , , ,以上皆非，因為工作就是這樣,1,2,5, , ,1,3,4, , , , ,1,2,4, , , , 
47,1,3,3,5,3,2,3,7, , , , ,1,7,1,4, , ,1,2, , , , , ,7, , , , ,3, , , , , , , , , , ,1,4, , , , ,7,1, , , , ,1,3, , , ,2,3, , , , , ,1,2,5, , , , 
87,1,3,1,18,3,2,1,3, , , , ,2, , , , , ,1,2,3, , , , ,7, , , , ,2, , , , , , , , , , ,1,4, , , , ,6,1,5, , , ,1,2,5, , ,1,2,6, , , , ,1,2,5, , , , 
471,1,2,1,10,2,2,2,3,7, , , ,1,7,7, , ,沒有需要改善地方,1,2,4, , , , ,7, , , , ,3, , , , , , , , , , ,1,2,4, , , ,6,9, , , ,不會焦慮,1,2, , , ,1,2,5, , , , ,1,2,3, , , , 
578,1,3,4,9,2,3,3,4,7, , , ,2, , , , , ,1,2,6, , , , ,7, , , , ,1, , , , , , , , , , ,1,4,5, , , ,7,1, , , , ,1,2,5, , ,1,2,6, , , , ,1,2,3, , , , 
589,1,1,1,8,1,3,4,7, , , , ,1,10,4,5, , ,1,2,5, , , , ,7, , , , ,1, , , , , , , , , , ,1,2,5, , , ,3,3,4, , , ,1,2,3, , ,1,2,5, , , , ,1,2,3, , , , 
592,1,2,1,16,3,3,1,2,3, , , ,1,7,7, , ,沒有,1,2,4, , , , ,7, , , , ,1, , , , , , , , , , ,1,2,3, , , ,6,2, , , , ,2,3, , , ,2,4,5, , , , ,3,4,5, , , , 
597,1,2,3,11,3,3,3,4,7, , , ,1,7,1, , , ,1, , , , , , ,7, , , , ,4,5, , , , , ,4, , , ,1, , , , , ,5,5, , , , ,2,4, , , ,1,3, , , , , ,1,4,5, , , , 
623,1,1,1,11,1,3,3, , , , , ,2, , , , , ,7, , , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,6,3, , , , ,6, , , ,學長去死，堅持不換選項,7, , , , , , ,6, , , , , , 
695,1,2,3,11,3,3,3, , , , , ,1,10,1, , , ,1, , , , , , ,7, , , , ,1, , , , , , , , , , ,1,2, , , , ,10,2,3, , , ,1,2, , , ,2,4, , , , , ,2, , , , , , 
746,1,2,3,11,2,3,3,7, , , , ,1,8,1, , , ,1,2,5, , , , ,7, , , , ,3, , , , , , , , , , ,1,2, , , , ,5,1, , , , ,1,2, , , ,2,4,6, , , , ,1,2,5, , , , 
825,1,3,3,8,2,3,4,5,7, , , ,1,8,4, , , ,2,3, , , , , ,7, , , , ,2, , , , , , , , , , ,1,5, , , , ,8,1, , , , ,1,2, , , ,4,5, , , , , ,3,6, , , , , 
953,1,2,1,11,3,3,3, , , , , ,2, , , , , ,4,5, , , , , ,7, , , , ,1, , , , , , , , , , ,1, , , , , ,7,2, , , , ,1, , , , ,4,7, , , , , ,6, , , , , , 
266,2,3,3,5,3,1,6,7, , , , ,1,8,1,4, , ,1,4,6, , , , ,7, , , , ,3, , , , , , , , , , ,1,2,3, , , ,7,3,4,5, , ,1,2,3, , ,1,2,3, , , , ,1,2,3, , , , 
646,2,3,3,5,3,1,7, , , , , ,1,8,1, , , ,5,6, , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,5,1, , , , ,2,4, , , ,1,2,3, , , , ,2,4,5, , , , 
677,2,2,3,16,1,1,1,2,7, , , ,2, , , , , ,1,2, , , , , ,7, , , , ,3, , , , , , , , , , ,1,3, , , , ,7,2,5, , , ,1,2,5, , ,1,6,7, , , , ,2,3,6, , , , 
749,2,3,4,9,2,1,3,6,7, , , ,1,8,1,4, , ,1,2,5, , , , ,7, , , , ,2, , , , , , , , , , ,1,3, , , , ,7,4, , , , ,1, , , , ,1,4,7, , , , ,1,2,3, , , , 
838,2,3,3,5,1,1,1, , , , , ,1,5,1, , , ,6, , , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,7,9, , , ,沒有,1, , , , ,1, , , , , , ,1, , , , , , 
847,2,2,3,11,1,1,2,3,6, , , ,2, , , , , ,1,4, , , , , ,7, , , , ,4,1,2,7, , , ,1,4, , ,1,2,5, , , ,6,6, , , , ,1,2,5, , ,1,2,5, , , , ,1,2,5, , , , 
851,2,3,3,5,2,1,4,7, , , , ,2, , , , , ,2,3,4, , , , ,7, , , , ,2, , , , , , , , , , ,1, , , , , ,7,3, , , , ,1, , , , ,4,5, , , , , ,1,3, , , , , 
917,2,2,2,3,2,1,1,2,7, , , ,1,4,2,3, , ,1,2,4, , , , ,7, , , ,"沒有以上問題,以上皆非。",3, , , , , , , , , , ,1,3, , , , ,5,3, , , , ,1,2, , , ,1,4,6, , , , ,1,2,6, , , , 
949,2,3,3,5,3,1,1,2,3, , , ,1,6,7, , ,沒意見,2,4,6, , , , ,7, , , , ,3, , , , , , , , , , ,1,2,3, , , ,5,2,3, , , ,3, , , , ,1,2,4, , , , ,1,2,3, , , , 
961,2,2,1,18,3,1,1,3,7, , , ,2, , , , , ,1,2,3, , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,7,2,3,5, , ,1,4,5, , ,1,2,3, , , , ,1,2,5, , , , 
978,2,3,3,11,3,1,1, , , , , ,1,8,1,4, , ,1, , , , , , ,7, , , , ,3, , , , , , , , , , ,1,2, , , , ,6,3,4,6, , ,1,2, , , ,3,4,5, , , , ,1,2,3, , , , 
1063,2,2,3,4,1,1,1,2,7, , , ,1,7,1, , , ,2,4,5, , , , ,7, , , , ,3, , , , , , , , , , ,1,3,5, , , ,5,2, , , , ,1,2,4, , ,1,4,7, , , , ,1,3,6, , , , 
1084,2,2,3,1,3,1,1,2,3, , , ,1,6,7, , ,以上皆非。,1,2,6, , , , ,7, , , , ,2, , , , , , , , , , ,1,2,3, , , ,7,2,6, , , ,1,2,3, , ,1,2,6, , , , ,2,3,5, , , , 
32,2,2,1,8,2,2,1,2,3, , , ,1,10,8, , ,以上困擾,1,2,4, , , , ,7, , , , ,2, , , , , , , , , , ,1,2,3, , , ,8,1,2,4, , ,1,2,4, , ,1,2,5, , , , ,1,3,4, , , , 
123,2,2,3,9,2,2,1,2,3, , , ,1,6,1, , , ,1,4, , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,5,9, , , ,以上皆非,1,2, , , ,1,2,3, , , , ,2,3,4, , , , 
191,2,2,3,3,2,2,1,2,3, , , ,1,7,4, , , ,2,4, , , , , ,7, , , , ,3, , , , , , , , , , ,1,4,5, , , ,7,2, , , , ,3,4,5, , ,1,2,4, , , , ,1,2,3, , , , 
195,2,2,3,15,3,2,6,7, , , , ,1,7,1, , , ,4, , , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,7,2, , , , ,1, , , , ,3, , , , , , ,2, , , , , , 
353,2,2,3,16,1,2,2,7, , , , ,1,7,5, , , ,1,2,6, , , , ,7, , , , ,2, , , , , , , , , , ,1,3, , , , ,5,2,4, , , ,1,4, , , ,1,2, , , , , ,1,2,3, , , , 
394,2,2,3,7,2,2,9, , , , ,以上皆是,2, , , , , ,1,2, , , , , ,7, , , , ,2, , , , , , , , , , ,1,2, , , , ,6,2, , , , ,4, , , , ,1, , , , , , ,8, , , , , ,以上皆是。
407,2,2,3,7,3,2,1,3,4, , , ,2, , , , , ,4,5,6, , , , ,7, , , , ,2, , , , , , , , , , ,1,2, , , , ,6,1,2, , , ,1, , , , ,1,5, , , , , ,1,2,3, , , , 
525,2,3,3,3,3,2,2,5,7, , , ,1,8,1, , , ,1,2,5, , , , ,7, , , , ,3, , , , , , , , , , ,1,4,5, , , ,5,2, , , , ,1,5, , , ,1,2,5, , , , ,1,2,3, , , , 
584,2,3,4,2,1,2,2,3,7, , , ,1,7,1, , , ,4,5,6, , , , ,7, , , , ,3, , , , , , , , , , ,1,2,3, , , ,6,2,3, , , ,1,2, , , ,1,2,3, , , , ,2,3,4, , , , 
607,2,2,3,5,2,2,2,7, , , , ,1,5,1, , , ,4,6, , , , , ,7, , , , ,3, , , , , , , , , , ,1,2,5, , , ,6,3,6, , , ,2, , , , ,3,4, , , , , ,3,5, , , , , 
622,2,3,3,5,2,2,2, , , , , ,1,9,1, , , ,2, , , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,8,9, , , ,以上皆非。,1, , , , ,5, , , , , , ,3, , , , , , 
626,2,2,3,8,3,2,1,2, , , , ,1,6,2, , , ,5, , , , , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,5,6, , , , ,1,5, , , ,1, , , , , , ,6, , , , , , 
639,2,2,3,5,3,2,1,2, , , , ,2, , , , , ,4,5, , , , , ,7, , , , ,3, , , , , , , , , , ,1,3, , , , ,6,2, , , , ,2, , , , ,9, , , , , ,以上皆是。,2,3,4, , , , 
682,2,2,3,2,1,2,1,3, , , , ,1,9,7, , ,以上皆非。,1,2,4, , , , ,7, , , ,以上皆非。,2, , , , , , , , , , ,1,3, , , , ,8,9, , , ,以上皆非。,1, , , , ,1,2,5, , , , ,1,2,6, , , , 
801,2,2,3,16,2,2,1,5, , , , ,1,5,1, , , ,1,2,4,5, , , ,7, , , , ,3, , , , , , , , , , ,1, , , , , ,5,1,2, , , ,1,2,3, , ,1,2,3,4,5, , ,1,2,4, , , , 
